,Year,Film,Nominees,FilmLink,Won
211,1971 (44th),The Selfish Giant,Gerald Potterton & Peter Sander,/wiki/The_Selfish_Giant_(1972_film),False
212,1972 (45th),,,,False
213,1972 (45th),A Christmas Carol,Richard Williams,/wiki/A_Christmas_Carol_(TV_special),True
214,1972 (45th),Kama Sutra Rides Again,Bob Godfrey,,False
215,1972 (45th),Tup Tup,Nedeljko Dragić,/wiki/Tup_Tup,False
216,1973 (46th),,,,False
217,1973 (46th),Frank Film,Frank Mouris,/wiki/Frank_Film,True
218,1973 (46th),The Legend of John Henry,David Adams & Nick Bosustow,,False
219,1973 (46th),Pulcinella,Guilo Gianini & Emanuele Luzzati,,False
220,1974 (47th),,,,False
221,1974 (47th),Closed Mondays,Bob Gardiner & Will Vinton,/wiki/Closed_Mondays,True
222,1974 (47th),The Family That Dwelt Apart,Yvon Mallette & Robert Verrall,/wiki/The_Family_That_Dwelt_Apart,False
223,1974 (47th),Hunger,Peter Foldes & René Jodoin,/wiki/Hunger_(1974_film),False
224,1974 (47th),Voyage to Next,Faith & John Hubley,,False
225,1974 (47th),Winnie the Pooh and Tigger Too,Wolfgang Reitherman,/wiki/Winnie_the_Pooh_and_Tigger_Too,False
226,1975 (48th),,,,False
227,1975 (48th),Great,Bob Godfrey,/wiki/Great_(1975_film),True
228,1975 (48th),Kick Me,Robert Swarthe,/wiki/Kick_Me_(film),False
229,1975 (48th),Monsieur Pointu,"René Jodoin, André Leduc & Bernard Longpré",/wiki/Monsieur_Pointu_(film),False
230,1975 (48th),Sisyphus,Marcell Jankovics,/wiki/Sisyphus_(film),False
231,1976 (49th),,,,False
232,1976 (49th),Leisure,Suzanne Baker,/wiki/Leisure_(film),True
233,1976 (49th),Dedalo,Manfredo Manfredi,,False
234,1976 (49th),The Street,Guy Glover & Caroline Leaf,/wiki/The_Street_(1976_film),False
235,1977 (50th),,,,False
236,1977 (50th),The Sand Castle,Co Hoedeman,/wiki/The_Sand_Castle_(film),True
237,1977 (50th),The Bead Game,Ishu Patel,/wiki/Bead_Game,False
238,1977 (50th),A Doonesbury Special,"Faith, John Hubley (p.n.) & Garry Trudeau",/wiki/Doonesbury,False
239,1977 (50th),Jimmy the C,"Robert Grossman, James Picker & Craig Whitaker",/wiki/Jimmy_the_C,False
240,1978 (51st),,,,False
241,1978 (51st),Special Delivery,Eunice Macaulay & John Weldon,/wiki/Special_Delivery_(1978_film),True
242,1978 (51st),Oh My Darling,Nico Crama,,False
243,1978 (51st),Rip Van Winkle,Will Vinton,,False
244,1979 (52nd),,,,False
245,1979 (52nd),Every Child,Derek Lamb,/wiki/Every_Child_(film),True
246,1979 (52nd),Dream Doll,Bob Godfrey & Zlatko Grgić,/wiki/Dream_Doll,False
247,1979 (52nd),It's So Nice to Have a Wolf Around the House,Paul Fierlinger,/wiki/Paul_Fierlinger,False
248,1980 (53rd),,,,False
249,1980 (53rd),The Fly,Ferenc Rofusz,/wiki/The_Fly_(1980_film),True
250,1980 (53rd),All Nothing,Frédéric Back,/wiki/All_Nothing,False
251,1980 (53rd),History of the World in Three Minutes Flat,Michael Mills,/wiki/History_of_the_World_in_Three_Minutes_Flat,False
252,1981 (54th),,,,False
253,1981 (54th),Crac,Frédéric Back,/wiki/Crac,True
254,1981 (54th),The Creation,Will Vinton,,False
255,1981 (54th),The Tender Tale of Cinderella Penguin,Janet Perlman,/wiki/The_Tender_Tale_of_Cinderella_Penguin,False
256,1982 (55th),,,,False
257,1982 (55th),Tango,Zbigniew Rybczyński,/wiki/Tango_(1981_film),True
258,1982 (55th),The Great Cognito,Will Vinton,/wiki/The_Great_Cognito,False
259,1982 (55th),The Snowman,John Coates & Dianne Jackson,/wiki/The_Snowman#Animated_television_special,False
260,1983 (56th),,,,False
261,1983 (56th),Sundae in New York,Jimmy Picker,/wiki/Sundae_in_New_York,True
262,1983 (56th),Mickey's Christmas Carol,Burny Mattinson,/wiki/Mickey%27s_Christmas_Carol,False
263,1983 (56th),Sound of Sunshine – Sound of Rain,Eda Godel Hallinan,,False
264,1984 (57th),,,,False
265,1984 (57th),Charade,Jon Minnis,/wiki/Charade_(1984_film),True
266,1984 (57th),Doctor DeSoto,Morton Schindel & Michael Sporn,/wiki/Doctor_DeSoto,False
267,1984 (57th),Paradise,Ishu Patel,/wiki/Paradise_(1984_film),False
268,1985 (58th),,,,False
269,1985 (58th),Anna & Bella,Cilia van Dijk,/wiki/Anna_%26_Bella,True
270,1985 (58th),The Big Snit,Richard Condie & Michael Scott,/wiki/The_Big_Snit,False
271,1985 (58th),Second Class Mail,Alison Snowden,,False
272,1986 (59th),,,,False
273,1986 (59th),A Greek Tragedy,Willem Thijsen & Linda Van Tulden,/wiki/A_Greek_Tragedy,True
274,1986 (59th),"The Frog, the Dog and the Devil",Bob Stenhouse,"/wiki/The_Frog,_the_Dog_and_the_Devil",False
275,1986 (59th),Luxo Jr.,John Lasseter & Bill Reeves,/wiki/Luxo_Jr.,False
276,1987 (60th),,,,False
277,1987 (60th),The Man Who Planted Trees,Frédéric Back,/wiki/The_Man_Who_Planted_Trees_(film),True
278,1987 (60th),George and Rosemary,Eunice Macaulay,/wiki/George_and_Rosemary,False
279,1987 (60th),Your Face,Bill Plympton,/wiki/Your_Face,False
280,1988 (61st),,,,False
281,1988 (61st),Tin Toy,John Lasseter & Bill Reeves,/wiki/Tin_Toy,True
282,1988 (61st),The Cat Came Back,Cordell Barker,/wiki/The_Cat_Came_Back_(1988_film),False
