,Directed by,Written by,Screenplay by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Productioncompany,Distributed by,Release dates,Running time,Country,Languages,Budget,Box office,Title,Based on,Language,Release date,Color process,Productioncompanies,Countries,Narrated by,Adaptation by,Suggested by,Narration by,Traditional Chinese,Simplified Chinese,Hanyu Pinyin,Hangul,Hanja,Revised Romanization,McCune–Reischauer,Kana,Revised Hepburn,French,Dialogue by,Literally,Country of origin,Original language,Producer,Release,Brazilian Portuguese,Polish,Danish,Native name,Born,Died,Occupation,Nationality,Period,Created by,Alias,Affiliation,Spouse,Religion,Origin,Italian,First appearance,Last appearance,Portrayed by,Gender,Family,Children,Resting place,Education,Years active,Known for,Board member of,Partner,Relatives,Awards,Spanish,Full name,Tenure,Cause of death,Burial,Issue,House,Father,Mother,Signature,Venerated in,Beatified,Canonized,Feast,Patronage,Voiced by,Reign,Coronation,Predecessor,Successor,Regents,Alma mater,Notable work,Spouses,Portuguese,Occupation(s),Literal meaning,Jyutping,German,Animation by,Kanji,Theme song by,Trade name,Company type,Industry,Predecessors,Founded,Founders,Headquarters,Number of locations,Area served,Key people,Products,Number of employees,Parent,Divisions,Subsidiaries,Website,Founder,Defunct,Layouts by,Original title,Genre(s),Published in,Publication date,Backgrounds by,Author,Cover artist,Genre,Publisher,Media type,OCLC,Preceded by,Followed by,Illustrator,Published,Pages,Related,Original work,Book(s),Film(s),Short film(s),Animated series,Direct-to-video,Video game(s),Toy(s),Voices of,Theme music composer,Composer,Producers,Network,Author(s),Current status/schedule,Launch date,Syndicate(s),Preceded by,Editor,Production company,ISBN,No. of series,No. of episodes,Director,Distributor,Released,Runtime,Set in,Dewey Decimal,LC Class,Text,Executive producers,Original languages,Production companies,Directed by,Produced by,Written by,Music by,Studio,Licensed by,Developer,Designed by,Engine,Platform,Hebrew,Presented by,No. of seasons,Occupations,Length,Label,Music,Lyrics,Book,Productions,Recorded,Screen story by,Additional dialogue by,Dialogues by,Visual effects by,Original screenplay by,Katakana,Norwegian,Episode no.,Featured music,Editing by,Original air date,po,Russian,Executive producer,Production locations,Editors,Also known as,Opening theme,Production location,Romanian,Ukrainian,Arabic,Swedish
4009,Marcel Ophuls,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Marcel Ophuls
André Harris
",,,", 
Alain de Sedouy
André Harris
",,", 
André Gazut
Jürgen Thieme
",Claude Vajda,,,,,251 minutes,,"French, , German, , English, [1], [2]",,"$13,082, [3], [4]",https://en.wikipedia.org/wiki/The_Sorrow_and_the_Pity,,,", 
18 September 1969 (1969-September-18)
",,"
Norddeutscher Rundfunk
Société suisse de radiodiffusion
","France, , West Germany, , Switzerland",,,,,,,,,,,,,,Le Chagrin et la Pitié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4010,"Howard Smith, , Sarah Kernochan",,,,"Howard Smith, , Sarah Kernochan",Marjoe Gortner,,Lawrence Silk,,,Cinema 5 Distributing,,88 minutes,United States,,,,https://en.wikipedia.org/wiki/Marjoe,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
July 24, 1972 (1972-07-24)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4011,Bert Haanstra,"Bert Haanstra, , Anton Koolhaas",,,Bert Haanstra,,Anton van Munster,Bert Haanstra,Otto Ketting,,"Ministry of Culture, Recreation and Social Welfare",,104 minutes,Netherlands,,,,https://en.wikipedia.org/wiki/Ape_and_Super-Ape,,Dutch,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
1972 (1972)
",,,,"Anton Koolhaas, , Alexander Scourby",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4012,Arnold Perl,"Alex Haley, , Arnold Perl, , Malcolm X",,,"Mick Benderoth, , Arnold Perl, , Nancy Reals Perl, , Marvin Worth",,,,,,Warner Bros.,,91 minutes,United States,,,,https://en.wikipedia.org/wiki/Malcolm_X_(1972_film),,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
May 24, 1972 (1972-05-24)
",,,,"James Earl Jones, , Ossie Davis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4013,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Robert Hendrickson
Laurence Merrick
",", 
Joan Huntington
Laurence Merrick
",,,", 
Robert Hendrickson
Laurence Merrick
",", 
Charles Manson
The Family
",", 
Jack Beckett
Leo Rivers
",Clancy Syrko,", 
Brooks Poston
Paul Watkins
",,American International Pictures,,83 minutes,United States,,,,https://en.wikipedia.org/wiki/Manson_(film),,English,January 1973,,,,Jess Pearson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4014,,,,,"Eckehard Munck,  [de]",,,,,,,,44 minutes,West Germany,,,,https://en.wikipedia.org/wiki/The_Silent_Revolution_(1972_film),,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
1972 (1972)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4015,Kieth Merrill,Douglas Kent Hall,,,"Kieth Merrill, [1]",".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, Larry MahanPhil Lyne",Reed Smoot,Kieth Merrill,Harold Farberman,,", American National EnterprisesWalt Disney Productions(video release), [3], [4]",,89 minutes,United States,,"$300,000",,https://en.wikipedia.org/wiki/The_Great_American_Cowboy,,English,1973,,,,"Joel McCrea, [2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4016,John D. Goodell,,,,John D. Goodell,,,,,Goodell Motion Pictures,The Beginning Corporation,,90 minutes,United States,,"$400,000, [1]",,https://en.wikipedia.org/wiki/Always_a_New_Beginning,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
March 1974 (1974-03)
",,,,James Lawless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4017,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, Franz BaakeJost von Morr",,,,Bengt von zur Mühlen,,,,,,,,,West Germany,,,,https://en.wikipedia.org/wiki/Battle_of_Berlin_(film),,German,", 
1973 (1973)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4018,Alexander Grasshoff,Kenneth M. Rosen,,,"Peter S. Brown, , Nicholas Clapp, , Alexander Grasshoff, , Dennis B. Kane",,"Mike Hoover, , David Myers",David Newhouse,Billy Goldenberg,Wolper Productions,National Geographic Society,,52 minutes,United States,,,,https://en.wikipedia.org/wiki/Journey_to_the_Outer_Limits,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
1973 (1973)
",,,,Leslie Nielsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4019,"Herbert Kline, , Edmund Penney",,,,"Gertrude Ross Marks, , Edmund F. Penney",,Víctor Gaitán,Gene Fowler Jr.,,,,,,United States,,,,https://en.wikipedia.org/wiki/Walls_of_Fire,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
1971 (1971)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4020,Peter Davis,,,,"Bert Schneider, , Peter Davis",,Richard Pearce,"Lynzee Klingman, , Susan Martin",,BBS Productions,"Rainbow Releasing, , Warner Bros.",,112 minutes,United States,,$1 million,,https://en.wikipedia.org/wiki/Hearts_and_Minds_(film),,English,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4021,"Judy Collins, , Jill Godmilow",,,,"Judy Collins, , Jill Godmilow","Antonia Brico, , Judy Collins",Coulter Watt,Jil Godmilow,,Rocky Mountain Films,Phoenix Films,,58 minutes,United States,,,,https://en.wikipedia.org/wiki/Antonia:_A_Portrait_of_the_Woman,,English,"1974,  (1974)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4022,Herbert Kline,Herbert Kline,,,Herbert Kline,,,,,,Cinemation Industries,,104 minutes,United States,,,,https://en.wikipedia.org/wiki/The_Challenge..._A_Tribute_to_Modern_Art,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
December 5, 1974 (1974-12-05)
",,,,Orson Welles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4023,"David Bergman , , Jacques ""Jacquo"" Ehrlich, , Haim Gouri",Haim Gouri,,,"David Bergman, , Jacques Ehrlich, , Haim Gouri, , Beit Lohamei HaGhettaot",,,Jacques Ehrlich,,Ghetto Fighters' House,,,115 minutes,Israel,"Yiddish, , Hebrew",,,https://en.wikipedia.org/wiki/The_81st_Blow,,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
1974 (1974)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4024,Eugene S. Jones,,,,"Eugene S. Jones, , Natalie R. Jones","Ian Ross and wife, Paul Ssali Naluma, wife and family, Kidepo rangers",Tony Mander,Stephen Milne,,,Tomorrow Entertainment,,102 minutes,United States,,,,https://en.wikipedia.org/wiki/The_Wild_and_the_Brave,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
May 15, 1974 (1974-05-15)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4025,"F.R. Crawley, , Bruce Nyznik",Judith Crawley,,,"F. R. Crawley, , James Hager, , Dale Hartleben",Yuichiro Miura,Mitsuji Kanau,"Bob Cooper, , Millie Moore","Larry Crosley, , Nexus",,Specialty Films (US),,84 minutes,,,"C$, 410,000",,https://en.wikipedia.org/wiki/The_Man_Who_Skied_Down_Everest,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
September 19, 1975 (1975-09-19)
",,Crawley FilmsIshihara International Productions,"Canada, , Japan, , United States",Douglas Rain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4026,"Keith F. Critchlow, , Walter F. Parkes",,,,"Keith Critchlow, , Walter F. Parkes, [1]",,,"Keith Critchlow, , Walter F. Parkes",Craig Safan,,City Life Films,,55 minutes,United States,,,,https://en.wikipedia.org/wiki/The_California_Reich,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
1975 (1975)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4027,Glen Pearcy,"Peter Matthiessen, , Glen Pearcy, , Luis Valdez",,,Glen Pearcy,,Glen Pearcy,Glen Pearcy,,National Farm Workers Service Center,,,59 minutes,United States,,,,https://en.wikipedia.org/wiki/Fighting_for_Our_Lives_(film),,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
November 1975 (1975-11)
",,,,Luis Valdez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4028,Irwin Rosten,Irwin Rosten,,,"Irwin Rosten, , Alex Pomasanoff, , Dennis B. Kane",,,Hyman Kaufman,Billy Goldenberg,,PBS,,59 minutes,United States,,,,https://en.wikipedia.org/wiki/The_Incredible_Machine_(film),,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
October 28, 1975 (1975-10-28)
",,Wolper ProductionsNational Geographic Society,,E. G. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4029,"Shirley MacLaine, , Claudia Weill",Shirley MacLaine,,,Shirley MacLaine,,"Joan Weidman, , Claudia Weill","Aviva Slesin, , Claudia Weill",,Shirley MacLaine Productions,New Day Films,,74 minutes,United States,,,,https://en.wikipedia.org/wiki/The_Other_Half_of_the_Sky:_A_China_Memoir,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
1975 (1975)
",,,,Shirley MacLaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4030,Barbara Kopple,,,,Barbara Kopple,,"Kevin Keating, , Hart Perry","Nancy Baker, , Mary Lampson","Hazel Dickens, , Merle Travis, , David Morris",Cabin Creek Films,Cinema 5,,103 minutes,United States,,,,"https://en.wikipedia.org/wiki/Harlan_County,_USA",,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
October 15, 1976 (1976-10-15) (New York Film Festival)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4031,David Helpern,Arnie Reisman,,,"James Gutman, ,  David Helpern Jr., [1]",,Barry Abrams,Frank Galvin,,,Corinth Films,,105 minutes,United States,,,,https://en.wikipedia.org/wiki/Hollywood_on_Trial,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
November 1976 (1976-11)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4032,Michael Firth,Molly Gregory,,,Michael Firth,"Jeff Campbell, , Blair Trenholme",Geoff Cocks,Michael Economou,,Pentacle Films,Kerridge Odeon,,"77 minutes, [1]",New Zealand,,,,https://en.wikipedia.org/wiki/Off_the_Edge,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
1976 (1976)
",,,,"Ron Hajek, , Ron Roy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4033,,,,,"Anthony Howarth, , David Koff",,Michael Dodds,Carolyn Hicks,"G.T. Moore,  and , Shusha Guppy",,Carolyn Films,,110 minutes,United States,,,,https://en.wikipedia.org/wiki/People_of_the_Wind,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
1976 (1976)
",,,,James Mason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4034,"Donald Brittain, , John Kramer","Donald Brittain, , John Kramer",,,"Donald Brittain, , Robert A. Duncan, , James de B. Domville,  (exec.)","Richard Burton,  (readings)","Douglas Kiefer, , Jacques Avoine (animation)","John Kramer, , Les Halman (sound), , Abbey Jack Neidik (sound)",Alain Clavier,National Film Board of Canada,National Film Board of Canada,,100 minutes,Canada,,,,https://en.wikipedia.org/wiki/Volcano:_An_Inquiry_into_the_Life_and_Death_of_Malcolm_Lowry,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
1976 (1976)
",,,,Donald Brittain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4035,John Korty,Janet Peoples,,,John Korty,,Jon Else,David Webb Peoples,Ed Bogas,,Sanrio,,72 minutes,United States,,,,https://en.wikipedia.org/wiki/Who_Are_the_DeBolts%3F_And_Where_Did_They_Get_Nineteen_Kids%3F,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
December 5, 1977 (1977-12-05)
",,,,Henry Winkler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4036,"Robert Dornhelm, , Earle Mack",Beth Gutcheon,,,Earle Mack,,Karl Kofler,Tina Frese,,,Peppercorn-Wormser Film Enterprises,,90 minutes,United States,,,,https://en.wikipedia.org/wiki/The_Children_of_Theatre_Street,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
May 9, 1977 (1977-05-09)
",,,,Grace Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
