,Year,Actor,Role(s),Film,Ref.,FilmLink,Won,Record,Age (in years)
131,1962 (35th),Victor Buono,Edwin Flagg,What Ever Happened to Baby Jane?,[36],/wiki/What_Ever_Happened_to_Baby_Jane%3F_(film),False,,
132,1962 (35th),Telly Savalas,Feto Gomez,Birdman of Alcatraz,[36],/wiki/Birdman_of_Alcatraz_(film),False,,
133,1962 (35th),Omar Sharif,Sherif Ali ibn el Kharish,Lawrence of Arabia,[36],/wiki/Lawrence_of_Arabia_(film),False,,
134,1962 (35th),Terence Stamp,Billy Budd,Billy Budd,[36],/wiki/Billy_Budd_(film),False,,
135,1963 (36th),Melvyn Douglas ‡,Homer Bannon,Hud,[37],/wiki/Hud_(1963_film),True,,
136,1963 (36th),Nick Adams,Ben Brown,Twilight of Honor,[37],/wiki/Twilight_of_Honor,False,,
137,1963 (36th),Bobby Darin,Corporal Jim Tompkins,"Captain Newman, M.D.",[37],"/wiki/Captain_Newman,_M.D.",False,,
138,1963 (36th),Hugh Griffith,Squire Western,Tom Jones,[37],/wiki/Tom_Jones_(1963_film),False,,
139,1963 (36th),John Huston,Cardinal Glennon,The Cardinal,[37],/wiki/The_Cardinal,False,,
140,1964 (37th),Peter Ustinov ‡,Arthur Simon Simpson,Topkapi,[38],/wiki/Topkapi_(film),True,,
141,1964 (37th),John Gielgud,King Louis VII,Becket,[38],/wiki/Becket_(1964_film),False,,
142,1964 (37th),Stanley Holloway,Alfred Doolittle,My Fair Lady,[38],/wiki/My_Fair_Lady_(film),False,,
143,1964 (37th),Edmond O'Brien,Senator Raymond Clark,Seven Days in May,[38],/wiki/Seven_Days_in_May,False,,
144,1964 (37th),Lee Tracy,President Art Hockstader,The Best Man,[38],/wiki/The_Best_Man_(1964_film),False,,
145,1965 (38th),Martin Balsam ‡,Arnold Burns,A Thousand Clowns,[39],/wiki/A_Thousand_Clowns,True,,
146,1965 (38th),Ian Bannen,"""Ratbags"" Crow",The Flight of the Phoenix,[39],/wiki/The_Flight_of_the_Phoenix_(1965_film),False,,
147,1965 (38th),Tom Courtenay,"Pavel ""Pasha"" Antipov / Strelnikov",Doctor Zhivago,[39],/wiki/Doctor_Zhivago_(film),False,,
148,1965 (38th),Michael Dunn,Carl Glocken,Ship of Fools,[39],/wiki/Ship_of_Fools_(film),False,,
149,1965 (38th),Frank Finlay,Iago,Othello,[39],/wiki/Othello_(1965_British_film),False,,
150,1966 (39th),Walter Matthau ‡,"""Whiplash Willie"" Gingrich",The Fortune Cookie,[40],/wiki/The_Fortune_Cookie,True,,
151,1966 (39th),Mako,Po-han,The Sand Pebbles,[40],/wiki/The_Sand_Pebbles_(film),False,,
152,1966 (39th),James Mason,James Leamington,Georgy Girl,[40],/wiki/Georgy_Girl,False,,
153,1966 (39th),George Segal,Nick,Who's Afraid of Virginia Woolf?,[40],/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F_(film),False,,
154,1966 (39th),Robert Shaw,King Henry VIII,A Man for All Seasons,[40],/wiki/A_Man_for_All_Seasons_(1966_film),False,,
155,1967 (40th),George Kennedy ‡,Dragline,Cool Hand Luke,[41],/wiki/Cool_Hand_Luke,True,,
156,1967 (40th),John Cassavetes,Victor R. Franko,The Dirty Dozen,[41],/wiki/The_Dirty_Dozen,False,,
157,1967 (40th),Gene Hackman,Buck Barrow,Bonnie and Clyde,[41],/wiki/Bonnie_and_Clyde_(film),False,,
158,1967 (40th),Cecil Kellaway,Monsignor Mike Ryan,Guess Who's Coming to Dinner,[41],/wiki/Guess_Who%27s_Coming_to_Dinner,False,,
159,1967 (40th),Michael J. Pollard,C.W. Moss,Bonnie and Clyde,[41],/wiki/Bonnie_and_Clyde_(film),False,,
160,1968 (41st),Jack Albertson ‡,John Cleary,The Subject Was Roses,[42],/wiki/The_Subject_Was_Roses_(film),True,,
