,Year,Film,Art director(s),FilmLink,Won,Interior decorator(s),Set decorator(s),Production designer(s)
244,1953  (26th),Roman Holiday,Hal Pereira and Walter H. Tyler,/wiki/Roman_Holiday,False,,—,
245,1953  (26th),Titanic,Maurice Ransford and Lyle R. Wheeler,/wiki/Titanic_(1953_film),False,,Stuart Reiss,
246,1953  (26th),Color,Color,,False,,Color,
247,1953  (26th),The Robe,George Davis and Lyle R. Wheeler,/wiki/The_Robe_(film),True,,Paul S. Fox and Walter M. Scott,
248,1953  (26th),Knights of the Round Table,Alfred Junge and Hans Peters,/wiki/Knights_of_the_Round_Table_(film),False,,John Jarvis,
249,1953  (26th),Lili,Cedric Gibbons and Paul Groesse,/wiki/Lili_(1953_film),False,,Arthur Krams and Edwin B. Willis,
250,1953  (26th),The Story of Three Loves,"E. Preston Ames, Edward Carfagno, Cedric Gibbons and Gabriel Scognamillo",/wiki/The_Story_of_Three_Loves,False,,"F. Keogh Gleason, Arthur Krams, Jack D. Moore and Edwin B. Willis",
251,1953  (26th),Young Bess,Cedric Gibbons and Urie McCleary,/wiki/Young_Bess,False,,Jack D. Moore and Edwin B. Willis,
252,1954  (27th),Black-and-White,Black-and-White,,False,,Black-and-White,
253,1954  (27th),On the Waterfront,Richard Day,/wiki/On_the_Waterfront,True,,—,
254,1954  (27th),The Country Girl,Roland Anderson and Hal Pereira,/wiki/The_Country_Girl_(1954_film),False,,Samuel M. Comer and Grace Gregory,
255,1954  (27th),Executive Suite,Cedric Gibbons and Edward Carfagno,/wiki/Executive_Suite,False,,Edwin B. Willis and Emile Kuri,
256,1954  (27th),Le Plaisir,Max Ophüls,/wiki/Le_Plaisir,False,,—,
257,1954  (27th),Sabrina,Hal Pereira and Walter H. Tyler,/wiki/Sabrina_(1954_film),False,,Samuel M. Comer and Ray Moyer,
258,1954  (27th),Color,Color,,False,,Color,
259,1954  (27th),"20,000 Leagues Under the Sea",John Meehan,"/wiki/20,000_Leagues_Under_the_Sea_(1954_film)",True,,Emile Kuri,
260,1954  (27th),Brigadoon,Cedric Gibbons and E. Preston Ames,/wiki/Brigadoon_(film),False,,Edwin B. Willis and F. Keogh Gleason,
261,1954  (27th),Desiree,Lyle R. Wheeler and Leland Fuller,/wiki/D%C3%A9sir%C3%A9e_(film),False,,Walter M. Scott and Paul S. Fox,
262,1954  (27th),Red Garters,Hal Pereira and Roland Anderson,/wiki/Red_Garters_(film),False,,Samuel M. Comer and Ray Moyer,
263,1954  (27th),A Star Is Born,Malcolm Bert and Gene Allen,/wiki/A_Star_Is_Born_(1954_film),False,,Irene Sharaff and George James Hopkins,
264,1955  (28th),Black-and-White,Black-and-White,,False,,Black-and-White,
265,1955  (28th),The Rose Tattoo,Hal Pereira and Tambi Larsen,/wiki/The_Rose_Tattoo_(film),True,,Samuel M. Comer and Arthur Krams,
266,1955  (28th),Blackboard Jungle,Cedric Gibbons and Randall Duell,/wiki/Blackboard_Jungle,False,,Edwin B. Willis and Henry Grace,
267,1955  (28th),I'll Cry Tomorrow,Cedric Gibbons and Malcolm Brown,/wiki/I%27ll_Cry_Tomorrow,False,,Edwin B. Willis and Hugh Hunt,
268,1955  (28th),The Man with the Golden Arm,Joseph C. Wright,/wiki/The_Man_with_the_Golden_Arm,False,,Darrell Silvera,
269,1955  (28th),Marty,Edward S. Haworth and Walter M. Simonds,/wiki/Marty_(film),False,,Robert Priestley,
270,1955  (28th),Color,Color,,False,,Color,
271,1955  (28th),Picnic,William Flannery,/wiki/Picnic_(1955_film),True,,Jo Mielziner and Robert Priestley,
272,1955  (28th),Daddy Long Legs,Lyle R. Wheeler and John DeCuir,/wiki/Daddy_Long_Legs_(1955_film),False,,Walter M. Scott and Paul S. Fox,
273,1955  (28th),Guys and Dolls,Oliver Smith and Joseph C. Wright,/wiki/Guys_and_Dolls_(film),False,,Howard Bristol,
274,1955  (28th),Love Is a Many-Splendored Thing,Lyle R. Wheeler and George Davis,/wiki/Love_Is_a_Many-Splendored_Thing_(film),False,,Walter M. Scott and Jack Stubbs,
275,1955  (28th),To Catch a Thief,Hal Pereira and Joseph McMillan Johnson,/wiki/To_Catch_a_Thief,False,,Samuel M. Comer and Arthur Krams,
276,1956  (29th),Black-and-White,Black-and-White,,False,,Black-and-White,
277,1956  (29th),Somebody Up There Likes Me,Cedric Gibbons and Malcolm Brown,/wiki/Somebody_Up_There_Likes_Me_(1956_film),True,,Edwin B. Willis and F. Keogh Gleason,
278,1956  (29th),Seven Samurai,So Matsuyama,/wiki/Seven_Samurai,False,,—,
279,1956  (29th),The Proud and Profane,Hal Pereira and A. Earl Hedrick,/wiki/The_Proud_and_Profane,False,,Samuel M. Comer and Frank R. McKelvy,
280,1956  (29th),The Solid Gold Cadillac,Ross Bellah,/wiki/The_Solid_Gold_Cadillac,False,,William Kiernan and Louis Diage,
281,1956  (29th),Teenage Rebel,Lyle R. Wheeler and Jack Martin Smith,/wiki/Teenage_Rebel,False,,Walter M. Scott and Stuart A. Reiss,
282,1956  (29th),Color,Color,,False,,Color,
283,1956  (29th),The King and I,Lyle R. Wheeler and John DeCuir,/wiki/The_King_and_I_(1956_film),True,,Walter M. Scott and Paul S. Fox,
284,1956  (29th),Around the World in 80 Days,James W. Sullivan and Ken Adam,/wiki/Around_the_World_in_80_Days_(1956_film),False,,Ross J. Dowd,
285,1956  (29th),Giant,Boris Leven,/wiki/Giant_(1956_film),False,,Ralph S. Hurst,
286,1956  (29th),Lust for Life,Cedric Gibbons and Hans Peters and E. Preston Ames,/wiki/Lust_for_Life_(1956_film),False,,Edwin B. Willis and F. Keogh Gleason,
287,1956  (29th),The Ten Commandments,Walter H. Tyler and Albert Nozaki,/wiki/The_Ten_Commandments_(1956_film),False,,Samuel M. Comer and Ray Moyer,
288,1957  (30th) [note 5],,,,False,,,
289,1957  (30th) [note 5],Sayonara,Ted Haworth,/wiki/Sayonara,True,,Robert Priestley,
290,1957  (30th) [note 5],Funny Face,Hal Pereira and George Davis,/wiki/Funny_Face,False,,Samuel M. Comer and Ray Moyer,
291,1957  (30th) [note 5],Les Girls,William A. Horning and Gene Allen,/wiki/Les_Girls,False,,Edwin B. Willis and Richard Pefferle,
292,1957  (30th) [note 5],Pal Joey,Walter Holscher,/wiki/Pal_Joey_(film),False,,William Kiernan and Louis Diage,
293,1957  (30th) [note 5],Raintree County,William A. Horning and Urie McCleary,/wiki/Raintree_County_(film),False,,Edwin B. Willis and Hugh Hunt,
294,1958  (31st) [note 5],,,,False,,,
295,1958  (31st) [note 5],Gigi,William A. Horning (posthumous award) and E. Preston Ames,/wiki/Gigi_(1958_film),True,,Henry Grace and F. Keogh Gleason,
296,1958  (31st) [note 5],Auntie Mame,Malcolm Bert,/wiki/Auntie_Mame_(film),False,,George James Hopkins,
297,1958  (31st) [note 5],"Bell, Book and Candle",Cary Odell,"/wiki/Bell,_Book_and_Candle",False,,Louis Diage,
298,1958  (31st) [note 5],A Certain Smile,Lyle R. Wheeler and John DeCuir,/wiki/A_Certain_Smile_(film),False,,Walter M. Scott and Paul S. Fox,
299,1958  (31st) [note 5],Vertigo,Hal Pereira and Henry Bumstead,/wiki/Vertigo_(film),False,,Samuel M. Comer and Frank McKelvy,
300,1959  (32nd),Black-and-White,Black-and-White,,False,,Black-and-White,
301,1959  (32nd),The Diary of Anne Frank,Lyle R. Wheeler and George Davis,/wiki/The_Diary_of_Anne_Frank_(1959_film),True,,Walter M. Scott and Stuart A. Reiss,
302,1959  (32nd),Career,Hal Pereira and Walter H. Tyler,/wiki/Career_(1959_film),False,,Samuel M. Comer and Arthur Krams,
303,1959  (32nd),The Last Angry Man,Carl Anderson,/wiki/The_Last_Angry_Man,False,,William Kiernan,
304,1959  (32nd),Some Like It Hot,Ted Haworth,/wiki/Some_Like_It_Hot,False,,Edward G. Boyle,
305,1959  (32nd),"Suddenly, Last Summer",Oliver Messel and William Kellner,"/wiki/Suddenly,_Last_Summer_(film)",False,,Scott Slimon,
306,1959  (32nd),Color,Color,,False,,Color,
307,1959  (32nd),Ben-Hur,William A. Horning (posthumous award) and Edward Carfagno,/wiki/Ben-Hur_(1959_film),True,,Hugh Hunt,
308,1959  (32nd),The Big Fisherman,John DeCuir,/wiki/The_Big_Fisherman,False,,Julia Heron,
309,1959  (32nd),Journey to the Center of the Earth,"Lyle R. Wheeler, Franz Bachelin and Herman A. Blumenthal",/wiki/Journey_to_the_Center_of_the_Earth_(1959_film),False,,Walter M. Scott and Joseph Kish,
310,1959  (32nd),North by Northwest,"William A. Horning (posthumous nomination), Robert F. Boyle and Merrill Pye",/wiki/North_by_Northwest,False,,Henry Grace and Frank McKelvy,
311,1959  (32nd),Pillow Talk,Richard H. Riedel (posthumous nomination),/wiki/Pillow_Talk_(film),False,,Russell A. Gausman and Ruby R. Levitt,
312,1960  (33rd),Black-and-White,Black-and-White,,False,,Black-and-White,
313,1960  (33rd),The Apartment,Alexandre Trauner,/wiki/The_Apartment,True,,Edward G. Boyle,
314,1960  (33rd),The Facts of Life,Joseph McMillan Johnson and Kenneth A. Reid,/wiki/The_Facts_of_Life_(film),False,,Ross Dowd,
315,1960  (33rd),Psycho,Joseph Hurley and Robert Clatworthy,/wiki/Psycho_(1960_film),False,,George Milo,
316,1960  (33rd),Sons and Lovers,Tom Morahan,/wiki/Sons_and_Lovers_(film),False,,Lionel Couch,
317,1960  (33rd),Visit to a Small Planet,Hal Pereira and Walter Tyler,/wiki/Visit_to_a_Small_Planet,False,,Samuel M. Comer and Arthur Krams,
318,1960  (33rd),Color,Color,,False,,Color,
319,1960  (33rd),Spartacus,Alexander Golitzen and Eric Orbom,/wiki/Spartacus_(film),True,,Russell A. Gausman and Julia Heron,
320,1960  (33rd),Cimarron,George Davis and Addison Hehr,/wiki/Cimarron_(1960_film),False,,"Henry Grace, Hugh Hunt and Otto Siegel",
321,1960  (33rd),It Started in Naples,Hal Pereira and Roland Anderson,/wiki/It_Started_in_Naples,False,,Samuel M. Comer and Arrigo Breschi,
322,1960  (33rd),Pepe,Ted Haworth,/wiki/Pepe_(1960_film),False,,William Kiernan,
323,1960  (33rd),Sunrise at Campobello,Edward Carrere,/wiki/Sunrise_at_Campobello,False,,George James Hopkins,
324,1961  (34th),Black-and-White,Black-and-White,,False,,Black-and-White,
325,1961  (34th),The Hustler,Harry Horner,/wiki/The_Hustler,True,,Gene Callahan,
326,1961  (34th),The Absent-Minded Professor,Carroll Clark,/wiki/The_Absent-Minded_Professor,False,,Emile Kuri and Hal Gausman,
327,1961  (34th),The Children's Hour,Fernando Carrere,/wiki/The_Children%27s_Hour_(film),False,,Edward G. Boyle,
328,1961  (34th),Judgment at Nuremberg,Rudolph Sternad,/wiki/Judgment_at_Nuremberg,False,,George Milo,
329,1961  (34th),La Dolce Vita,Piero Gherardi,/wiki/La_Dolce_Vita,False,,—,
330,1961  (34th),Color,Color,,False,,Color,
331,1961  (34th),West Side Story,Boris Leven,/wiki/West_Side_Story_(1961_film),True,,Victor A. Gangelin,
332,1961  (34th),Breakfast at Tiffany's,Hal Pereira and Roland Anderson,/wiki/Breakfast_at_Tiffany%27s_(film),False,,Samuel M. Comer and Ray Moyer,
333,1961  (34th),El Cid,Veniero Colasanti and John Moore,/wiki/El_Cid_(film),False,,—,
334,1961  (34th),Flower Drum Song,Alexander Golitzen and Joseph C. Wright,/wiki/Flower_Drum_Song_(film),False,,Howard Bristol,
335,1961  (34th),Summer and Smoke,Hal Pereira and Walter Tyler,/wiki/Summer_and_Smoke_(film),False,,Samuel M. Comer and Arthur Krams,
336,1962  (35th),Black-and-White,Black-and-White,,False,,Black-and-White,
337,1962  (35th),To Kill a Mockingbird,Alexander Golitzen and Henry Bumstead,/wiki/To_Kill_a_Mockingbird_(film),True,,Oliver Emert,
338,1962  (35th),Days of Wine and Roses,Joseph C. Wright,/wiki/Days_of_Wine_and_Roses_(film),False,,George James Hopkins,
339,1962  (35th),The Longest Day,"Ted Haworth, Léon Barsacq and Vincent Korda",/wiki/The_Longest_Day_(film),False,,Gabriel Béchir,
340,1962  (35th),Period of Adjustment,George Davis and Edward Carfagno,/wiki/Period_of_Adjustment_(film),False,,Henry Grace and Richard Pefferle,
341,1962  (35th),The Pigeon That Took Rome,Hal Pereira and Roland Anderson,/wiki/The_Pigeon_That_Took_Rome,False,,Samuel M. Comer and Frank R. McKelvy,
342,1962  (35th),Color,Color,,False,,Color,
343,1962  (35th),Lawrence of Arabia,John Box and John Stoll,/wiki/Lawrence_of_Arabia_(film),True,,Dario Simoni,
344,1962  (35th),The Music Man,Paul Groesse,/wiki/The_Music_Man_(1962_film),False,,George James Hopkins,
345,1962  (35th),Mutiny on the Bounty,George Davis and Joseph McMillan Johnson,/wiki/Mutiny_on_the_Bounty_(1962_film),False,,Henry Grace and Hugh Hunt,
346,1962  (35th),That Touch of Mink,Alexander Golitzen and Robert Clatworthy,/wiki/That_Touch_of_Mink,False,,George Milo,
347,1962  (35th),The Wonderful World of the Brothers Grimm,George Davis and Edward Carfagno,/wiki/The_Wonderful_World_of_the_Brothers_Grimm,False,,Henry Grace and Richard Pefferle,
348,1963  (36th),Black-and-White,Black-and-White,,False,,Black-and-White,
349,1963  (36th),America America,Gene Callahan,/wiki/America_America,True,,—,
350,1963  (36th),8½,Piero Gherardi,/wiki/8%C2%BD,False,,—,
351,1963  (36th),Hud,Hal Pereira and Tambi Larsen,/wiki/Hud_(1963_film),False,,Samuel M. Comer and Robert R. Benton,
352,1963  (36th),Love with the Proper Stranger,Hal Pereira and Roland Anderson,/wiki/Love_with_the_Proper_Stranger,False,,Samuel M. Comer and Grace Gregory,
353,1963  (36th),Twilight of Honor,George Davis and Paul Groesse,/wiki/Twilight_of_Honor,False,,Henry Grace and Hugh Hunt,
354,1963  (36th),Color,Color,,False,,Color,
355,1963  (36th),Cleopatra,"John DeCuir, Jack Martin Smith, Hilyard M. Brown, Herman A. Blumenthal, Elven Webb, Maurice Pelling and Boris Juraga",/wiki/Cleopatra_(1963_film),True,,"Walter M. Scott, Paul S. Fox and Ray Moyer",
356,1963  (36th),The Cardinal,Lyle R. Wheeler,/wiki/The_Cardinal,False,,Gene Callahan,
357,1963  (36th),Come Blow Your Horn,Hal Pereira and Roland Anderson,/wiki/Come_Blow_Your_Horn_(film),False,,Samuel M. Comer and James W. Payne,
358,1963  (36th),How the West Was Won,"George Davis, William Ferrari (posthumous nomination) and Addison Hehr",/wiki/How_the_West_Was_Won_(film),False,,"Henry Grace, Don Greenwood Jr. and Jack Mills",
359,1963  (36th),Tom Jones,"Ralph W. Brinton, Jocelyn Herbert, and Ted Marshall",/wiki/Tom_Jones_(1963_film),False,,Josie MacAvin,
360,1964  (37th),Black-and-White,Black-and-White,,False,,Black-and-White,
361,1964  (37th),Zorba the Greek,Vassilis Photopoulos,/wiki/Zorba_the_Greek_(film),True,,—,
362,1964  (37th),The Americanization of Emily,"George Davis, Hans Peters and Elliot Scott",/wiki/The_Americanization_of_Emily,False,,Henry Grace and Robert R. Benton,
363,1964  (37th),"Hush...Hush, Sweet Charlotte",William Glasgow,"/wiki/Hush...Hush,_Sweet_Charlotte",False,,Raphaël Bretton,
364,1964  (37th),The Night of the Iguana,Stephen B. Grimes,/wiki/The_Night_of_the_Iguana_(film),False,,—,
365,1964  (37th),Seven Days in May,Cary Odell,/wiki/Seven_Days_in_May,False,,Edward G. Boyle,
366,1964  (37th),Color,Color,,False,,Color,
367,1964  (37th),My Fair Lady,Gene Allen and Cecil Beaton,/wiki/My_Fair_Lady_(film),True,,George James Hopkins,
368,1964  (37th),Becket,John Bryan and Maurice Carter,/wiki/Becket_(1964_film),False,,Patrick McLoughlin and Robert Cartwright,
369,1964  (37th),Mary Poppins,Carroll Clark and William H. Tuntke,/wiki/Mary_Poppins_(film),False,,Emile Kuri and Hal Gausman,
370,1964  (37th),The Unsinkable Molly Brown,George Davis and E. Preston Ames,/wiki/The_Unsinkable_Molly_Brown_(film),False,,Henry Grace and Hugh Hunt,
371,1964  (37th),What a Way to Go!,Jack Martin Smith and Ted Haworth,/wiki/What_a_Way_to_Go!,False,,Walter M. Scott and Stuart A. Reiss,
372,1965  (38th),Black-and-White,Black-and-White,,False,,Black-and-White,
373,1965  (38th),Ship of Fools,Robert Clatworthy,/wiki/Ship_of_Fools_(film),True,,Joseph Kish,
374,1965  (38th),King Rat,Robert Emmet Smith,/wiki/King_Rat_(film),False,,Frank Tuttle,
375,1965  (38th),A Patch of Blue,George Davis and Urie McCleary,/wiki/A_Patch_of_Blue,False,,Henry Grace and Charles S. Thompson,
376,1965  (38th),The Slender Thread,Hal Pereira and Jack Poplin,/wiki/The_Slender_Thread,False,,Robert R. Benton and Joseph Kish,
377,1965  (38th),The Spy Who Came In from the Cold,Hal Pereira and Tambi Larsen,/wiki/The_Spy_Who_Came_In_from_the_Cold_(film),False,,Ted Marshall and Josie MacAvin,
378,1965  (38th),Color,Color,,False,,Color,
379,1965  (38th),Doctor Zhivago,John Box and Terence Marsh,/wiki/Doctor_Zhivago_(film),True,,Dario Simoni,
380,1965  (38th),The Agony and the Ecstasy,John DeCuir and Jack Martin Smith,/wiki/The_Agony_and_the_Ecstasy_(film),False,,Dario Simoni,
