,Year,Film,Nominees,FilmLink,Won,Unnamed: 3
158,1945 (18th),Wonder Man,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer",/wiki/Wonder_Man_(film),False,
159,1946 (19th),,,,False,
160,1946 (19th),The Jolson Story,"Columbia Studio Sound Department, John P. Livadary",/wiki/The_Jolson_Story,True,
161,1946 (19th),The Best Years of Our Lives,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer",/wiki/The_Best_Years_of_Our_Lives,False,
162,1946 (19th),It's a Wonderful Life,"RKO Radio Studio Sound Department, John Aalberg",/wiki/It%27s_a_Wonderful_Life,False,
163,1947 (20th),,,,False,
164,1947 (20th),The Bishop's Wife,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer",/wiki/The_Bishop%27s_Wife,True,
165,1947 (20th),Green Dolphin Street,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer",/wiki/Green_Dolphin_Street_(film),False,
166,1947 (20th),T-Men,"Sound Service, Inc., Jack Whitney",/wiki/T-Men,False,
167,1948 (21st),,,,False,
168,1948 (21st),The Snake Pit,"20th Century-Fox Studio Sound Department, Thomas T. Moulton",/wiki/The_Snake_Pit,True,
169,1948 (21st),Johnny Belinda,"Warner Bros. Studio Sound Department, Col. Nathan Levinson",/wiki/Johnny_Belinda_(1948_film),False,
170,1948 (21st),Moonrise,"Republic Studio Sound Department, Daniel J. Bloomberg",/wiki/Moonrise_(film),False,
171,1949 (22nd),,,,False,
172,1949 (22nd),Twelve O'Clock High,"20th Century-Fox Studio Sound Department, Thomas T. Moulton",/wiki/Twelve_O%27Clock_High,True,
173,1949 (22nd),"Once More, My Darling","Universal-International Studio Sound Department, Leslie I. Carey","/wiki/Once_More,_My_Darling",False,
174,1949 (22nd),Sands of Iwo Jima,"Republic Studio Sound Department, Daniel J. Bloomberg",/wiki/Sands_of_Iwo_Jima,False,
175,1950 (23rd),,,,False,
176,1950 (23rd),All About Eve,"20th Century-Fox Studio Sound Department, Thomas T. Moulton",/wiki/All_About_Eve,True,
177,1950 (23rd),Cinderella,"Walt Disney Studio Sound Department, C. O. Slyfield",/wiki/Cinderella_(1950_film),False,
178,1950 (23rd),Louisa,"Universal-International Studio Sound Department, Leslie I. Carey",/wiki/Louisa_(film),False,
179,1950 (23rd),Our Very Own,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer",/wiki/Our_Very_Own_(1950_film),False,
180,1950 (23rd),Trio,"Pinewood Studio Sound Department, Cyril Crowhurst",/wiki/Trio_(1950_film),False,
181,1951 (24th),,,,False,
182,1951 (24th),The Great Caruso,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer",/wiki/The_Great_Caruso,True,
183,1951 (24th),Bright Victory,"Universal-International Studio Sound Department, Leslie I. Carey",/wiki/Bright_Victory,False,
184,1951 (24th),I Want You,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer",/wiki/I_Want_You_(1951_film),False,
185,1951 (24th),A Streetcar Named Desire,"Warner Bros. Studio Sound Department, Col. Nathan Levinson",/wiki/A_Streetcar_Named_Desire_(1951_film),False,
186,1951 (24th),Two Tickets to Broadway,"RKO Studio Sound Department, John O. Aalberg",/wiki/Two_Tickets_to_Broadway,False,
