,Year,Film,Nominees,FilmLink,Won
357,1972 (45th),Frog Story,Ron Satlof and Ray Gideon,,False
358,1972 (45th),Solo,David Adams,,False
359,1973 (46th),,,,False
360,1973 (46th),The Bolero,Allan Miller and William Fertik,/wiki/The_Bolero,True
361,1973 (46th),Clockmaker,Richard Gayer,,False
362,1973 (46th),Life Times Nine,Pen Densham and John Watson,/wiki/Life_Times_Nine,False
363,1974 (47th),,,,False
364,1974 (47th),One-Eyed Men Are Kings,Paul Claudon and Edmond Séchan,/wiki/One-Eyed_Men_Are_Kings,True
365,1974 (47th),Climb,Dewitt Jones,,False
366,1974 (47th),The Concert,Julian Chagrin and Claude Chagrin,,False
367,1974 (47th),Planet Ocean,George V. Casey,,False
368,1974 (47th),The Violin,Andrew Welsh and George Pastic,,False
369,1975 (48th),,,,False
370,1975 (48th),Angel and Big Joe,Bert Salzman,/wiki/Angel_and_Big_Joe,True
371,1975 (48th),Conquest of Light,Louis Marcus,,False
372,1975 (48th),Dawn Flight,Lawrence M. Lansburgh and Brian Lansburgh,,False
373,1975 (48th),A Day in the Life of Bonnie Consolo,Barry Spinello,,False
374,1975 (48th),Doubletalk,Alan Beattie,,False
375,1976 (49th),,,,False
376,1976 (49th),In the Region of Ice,Andre R. Guttfreund and Peter Werner,/wiki/In_the_Region_of_Ice,True
377,1976 (49th),Kudzu,Marjorie Anne Short,,False
378,1976 (49th),The Morning Spider,Julian Chagrin and Claude Chagrin,,False
379,1976 (49th),Nightlife,Claire Wilbur and Robin Lehman,,False
380,1976 (49th),Number One,Dyan Cannon and Vince Cannon,,False
381,1977 (50th),,,,False
382,1977 (50th),I'll Find a Way,Beverly Shaffer and Yuki Yoshida,/wiki/I%27ll_Find_a_Way,True
383,1977 (50th),The Absent-Minded Waiter,William E. McEuen,/wiki/The_Absent-Minded_Waiter,False
384,1977 (50th),Floating Free,Jerry Butts,,False
