,Year,Film,Nominees,FilmLink,Won
422,2017 (90th) [8],Traffic Stop,Kate Davis and David Heilbroner,/wiki/Traffic_Stop,False
423,2018 (91st),,,,False
424,2018 (91st),Period. End of Sentence.,Rayka Zehtabchi and Melissa Berton,/wiki/Period._End_of_Sentence.,True
425,2018 (91st),Black Sheep,Ed Perkins and Jonathan Chinn,/wiki/Black_Sheep_(2018_film),False
426,2018 (91st),End Game,Rob Epstein and Jeffrey Friedman,/wiki/End_Game_(2018_film),False
427,2018 (91st),Lifeboat,Skye Fitzgerald and Bryn Mooser,/wiki/Lifeboat_(2018_film),False
428,2018 (91st),A Night at the Garden,Marshall Curry,/wiki/A_Night_at_the_Garden,False
429,2019 (92nd),,,,False
430,2019 (92nd),Learning to Skateboard in a Warzone (If You're a Girl),Carol Dysinger and Elena Andreicheva,/wiki/Learning_to_Skateboard_in_a_Warzone_(If_You%27re_a_Girl),True
431,2019 (92nd),In the Absence,Yi Seung-Jun and Gary Byung-Seok Kam,/wiki/In_the_Absence,False
432,2019 (92nd),Life Overtakes Me,John Haptas and Kristine Samuelson,/wiki/Life_Overtakes_Me,False
433,2019 (92nd),St. Louis Superman,Smriti Mundhra and Sami Khan,/wiki/St._Louis_Superman,False
434,2019 (92nd),Walk Run Cha-Cha,Laura Nix and Colette Sandstedt,/wiki/Walk_Run_Cha-Cha,False
435,2020/21 (93rd),,,,False
436,2020/21 (93rd),Colette,Anthony Giacchino and Alice Doyard,/wiki/Colette_(2020_film),True
437,2020/21 (93rd),A Concerto Is a Conversation,Ben Proudfoot and Kris Bowers,/wiki/A_Concerto_Is_a_Conversation,False
438,2020/21 (93rd),Do Not Split,Anders Hammer and Charlotte Cook,/wiki/Do_Not_Split,False
439,2020/21 (93rd),Hunger Ward,Skye Fitzgerald and Michael Scheuerman,/wiki/Hunger_Ward,False
440,2020/21 (93rd),A Love Song for Latasha,Sophia Nahli Allison and Janice Duncan,/wiki/A_Love_Song_for_Latasha,False
441,2021 (94th),,,,False
442,2021 (94th),The Queen of Basketball,Ben Proudfoot,/wiki/The_Queen_of_Basketball,True
443,2021 (94th),Audible,Matthew Ogens and Geoff McLean,/wiki/Audible_(film),False
444,2021 (94th),Lead Me Home,Pedro Kos and Jon Shenk,/wiki/Lead_Me_Home,False
445,2021 (94th),Three Songs for Benazir,Elizabeth Mirzaei and Gulistan Mirzaei,/wiki/Three_Songs_for_Benazir,False
446,2021 (94th),When We Were Bullies,Jay Rosenblatt,/wiki/When_We_Were_Bullies,False
447,2022 (95th),,,,False
448,2022 (95th),The Elephant Whisperers,Kartiki Gonsalves and Guneet Monga,/wiki/The_Elephant_Whisperers,True
449,2022 (95th),Haulout,Evgenia Arbugaeva and Maxim Arbugaev,/wiki/Haulout_(film),False
450,2022 (95th),How Do You Measure a Year?,Jay Rosenblatt,/wiki/How_Do_You_Measure_a_Year%3F,False
451,2022 (95th),The Martha Mitchell Effect,Anne Alvergue and Beth Levison,/wiki/The_Martha_Mitchell_Effect,False
452,2022 (95th),Stranger at the Gate,Joshua Seftel and Conall Jones,/wiki/Stranger_at_the_Gate,False
453,2023 (96th),,,,False
454,2023 (96th),The ABCs of Book Banning,Sheila Nevins and Trish Adlesic,/wiki/The_ABCs_of_Book_Banning,False
455,2023 (96th),The Barber of Little Rock,John Hoffman and Christine Turner,/wiki/The_Barber_of_Little_Rock,False
456,2023 (96th),Island in Between,S. Leo Chiang and Jean Tsien,/wiki/Island_in_Between,False
457,2023 (96th),The Last Repair Shop,Ben Proudfoot and Kris Bowers,/wiki/The_Last_Repair_Shop,False
458,2023 (96th),Nǎi Nai & Wài Pó,Sean Wang and Sam Davis,/wiki/N%C7%8Ei_Nai_%26_W%C3%A0i_P%C3%B3,False
