,Year,Film,Nominees,Source Material,FilmLink,Won,Record,Writer,Age,Ref.
121,1953 (26th),From Here to Eternity,Daniel Taradash,The novel by James Jones,/wiki/From_Here_to_Eternity,True,,,,
122,1953 (26th),The Cruel Sea,Eric Ambler,The novel by Nicholas Monsarrat,/wiki/The_Cruel_Sea_(1953_film),False,,,,
123,1953 (26th),Lili,Helen Deutsch,"The short story ""The Man Who Hated People"" by Paul Gallico",/wiki/Lili_(1953_film),False,,,,
124,1953 (26th),Roman Holiday,John Dighton & Ian McLellan Hunter,A story by Dalton Trumbo (front: Ian McLellan Hunter),/wiki/Roman_Holiday,False,,,,
125,1953 (26th),Shane,A. B. Guthrie Jr.,The novel by Jack Schaefer,/wiki/Shane_(film),False,,,,
126,1954 (27th),The Country Girl,George Seaton,The play by Clifford Odets,/wiki/The_Country_Girl_(1954_film),True,,,,
127,1954 (27th),The Caine Mutiny,Stanley Roberts,The novel by Herman Wouk,/wiki/The_Caine_Mutiny_(film),False,,,,
128,1954 (27th),Rear Window,John Michael Hayes,"The short story ""It Had to Be Murder"" by Cornell Woolrich",/wiki/Rear_Window,False,,,,
129,1954 (27th),Sabrina,"Ernest Lehman, Samuel A. Taylor & Billy Wilder",The play Sabrina Fair by Taylor,/wiki/Sabrina_(1954_film),False,,,,
130,1954 (27th),Seven Brides for Seven Brothers,"Frances Goodrich, Albert Hackett & Dorothy Kingsley","The short story ""The Sobbin' Women"" by Stephen Vincent Benét",/wiki/Seven_Brides_for_Seven_Brothers,False,,,,
131,1955 (28th),Marty,Paddy Chayefsky,The television play on The Philco Television Playhouse by Chayefsky,/wiki/Marty_(film),True,,,,
132,1955 (28th),Bad Day at Black Rock,Millard Kaufman,"The short story ""Bad Time at Honda"" by Howard Breslin",/wiki/Bad_Day_at_Black_Rock,False,,,,
133,1955 (28th),Blackboard Jungle,Richard Brooks,The novel by Evan Hunter,/wiki/Blackboard_Jungle,False,,,,
134,1955 (28th),East of Eden,Paul Osborn,The novel by John Steinbeck,/wiki/East_of_Eden_(film),False,,,,
135,1955 (28th),Love Me or Leave Me,Daniel Fuchs & Isobel Lennart,A story by Fuchs,/wiki/Love_Me_or_Leave_Me_(film),False,,,,
136,1956 (29th),Around the World in 80 Days,"John Farrow, S. J. Perelman & James Poe",The novel by Jules Verne,/wiki/Around_the_World_in_80_Days_(1956_film),True,,,,
137,1956 (29th),Baby Doll,Tennessee Williams,"The plays 27 Wagons Full of Cotton & The Long Stay Cut Short, or The Unsatisfactory Supper by Williams",/wiki/Baby_Doll,False,,,,
138,1956 (29th),Friendly Persuasion,Michael Wilson[note 11],The novel by Jessamyn West,/wiki/Friendly_Persuasion_(1956_film),False,,,,
139,1956 (29th),Giant,Fred Guiol & Ivan Moffat,The novel by Edna Ferber,/wiki/Giant_(1956_film),False,,,,
140,1956 (29th),Lust for Life,Norman Corwin,The novel by Irving Stone,/wiki/Lust_for_Life_(1956_film),False,,,,
141,1957 (30th),The Bridge on the River Kwai,"Pierre Boulle, Carl Foreman, & Michael Wilson[note 12]",The novel The Bridge over the River Kwai by Boulle,/wiki/The_Bridge_on_the_River_Kwai,True,,,,
142,1957 (30th),12 Angry Men,Reginald Rose,The teleplay on Westinghouse Studio One and play by Rose,/wiki/12_Angry_Men_(1957_film),False,,,,
143,1957 (30th),"Heaven Knows, Mr. Allison",John Huston & John Lee Mahin,The novel by Charles Shaw,"/wiki/Heaven_Knows,_Mr._Allison",False,,,,
144,1957 (30th),Peyton Place,John Michael Hayes,The novel by Grace Metalious,/wiki/Peyton_Place_(film),False,,,,
145,1957 (30th),Sayonara,Paul Osborn,The novel by James A. Michener,/wiki/Sayonara,False,,,,
146,1958 (31st),Gigi,Alan Jay Lerner,The novella by Colette,/wiki/Gigi_(1958_film),True,,,,
147,1958 (31st),Cat on a Hot Tin Roof,Richard Brooks & James Poe,"The play & short story ""Three Players of a Summer Game"" by Tennessee Williams",/wiki/Cat_on_a_Hot_Tin_Roof_(1958_film),False,,,,
148,1958 (31st),The Horse's Mouth,Alec Guinness,The novel by Joyce Cary,/wiki/The_Horse%27s_Mouth_(film),False,,,,
149,1958 (31st),I Want to Live!,Nelson Gidding & Don Mankiewicz,Articles by Edward S. Montgomery & letters by Barbara Graham,/wiki/I_Want_to_Live!,False,,,,
150,1958 (31st),Separate Tables,John Gay & Terence Rattigan,The plays by Rattigan,/wiki/Separate_Tables_(film),False,,,,
151,1959 (32nd),Room at the Top,Neil Paterson,The novel by John Braine,/wiki/Room_at_the_Top_(1959_film),True,,,,
152,1959 (32nd),Anatomy of a Murder,Wendell Mayes,The novel by John D. Voelker,/wiki/Anatomy_of_a_Murder,False,,,,
153,1959 (32nd),Ben-Hur,Karl Tunberg,The novel Ben-Hur: A Tale of the Christ by Lew Wallace,/wiki/Ben-Hur_(1959_film),False,,,,
154,1959 (32nd),The Nun's Story,Robert Anderson,The novel by Kathryn Hulme,/wiki/The_Nun%27s_Story_(film),False,,,,
155,1959 (32nd),Some Like It Hot,I. A. L. Diamond & Billy Wilder,"The 1935 French film Fanfare of Love written by Max Bronnet, Michael Logan, Pierre Prévert, René Pujol and Robert Thoeren & the 1951 German remake Fanfares of Love written by Logan, Thoeren and Heinz Pauck",/wiki/Some_Like_It_Hot,False,,,,
156,1960 (33rd),Elmer Gantry,Richard Brooks,The novel by Sinclair Lewis,/wiki/Elmer_Gantry_(film),True,,,,
157,1960 (33rd),Inherit the Wind,Harold Jacob Smith & Nedrick Young[note 13],The play by Jerome Lawrence & Robert E. Lee,/wiki/Inherit_the_Wind_(1960_film),False,,,,
158,1960 (33rd),Sons and Lovers,T. E. B. Clarke & Gavin Lambert,The novel by D. H. Lawrence,/wiki/Sons_and_Lovers_(film),False,,,,
159,1960 (33rd),The Sundowners,Isobel Lennart,The novel by Jon Cleary,/wiki/The_Sundowners_(1960_film),False,,,,
160,1960 (33rd),Tunes of Glory,James Kennaway,The novel by Kennaway,/wiki/Tunes_of_Glory,False,,,,
161,1961 (34th),Judgment at Nuremberg,Abby Mann,The television play on Playhouse 90 by Mann,/wiki/Judgment_at_Nuremberg,True,,,,
162,1961 (34th),Breakfast at Tiffany's,George Axelrod,The novella by Truman Capote,/wiki/Breakfast_at_Tiffany%27s_(film),False,,,,
163,1961 (34th),The Guns of Navarone,Carl Foreman,The novel by Alistair MacLean,/wiki/The_Guns_of_Navarone_(film),False,,,,
164,1961 (34th),The Hustler,Sidney Carroll & Robert Rossen,The novel by Walter Tevis,/wiki/The_Hustler,False,,,,
165,1961 (34th),West Side Story,Ernest Lehman,The musical by Arthur Laurents,/wiki/West_Side_Story_(1961_film),False,,,,
166,1962 (35th),To Kill a Mockingbird,Horton Foote,The novel by Harper Lee,/wiki/To_Kill_a_Mockingbird_(film),True,,,,
167,1962 (35th),David and Lisa,Eleanor Perry,The novella Lisa and David by Theodore Isaac Rubin,/wiki/David_and_Lisa,False,,,,
168,1962 (35th),Lawrence of Arabia,Robert Bolt & Michael Wilson[note 14],The memoir Seven Pillars of Wisdom by T. E. Lawrence,/wiki/Lawrence_of_Arabia_(film),False,,,,
169,1962 (35th),Lolita,Vladimir Nabokov,The novel by Nabokov,/wiki/Lolita_(1962_film),False,,,,
170,1962 (35th),The Miracle Worker,William Gibson,The play & television play on Playhouse 90 by Gibson,/wiki/The_Miracle_Worker_(1962_film),False,,,,
171,1963 (36th),Tom Jones,John Osborne,"The novel The History of Tom Jones, a Foundling by Henry Fielding",/wiki/Tom_Jones_(1963_film),True,,,,
172,1963 (36th),"Captain Newman, M.D.","Richard L. Breen, Henry & Phoebe Ephron",The novel by Leo Rosten,"/wiki/Captain_Newman,_M.D.",False,,,,
173,1963 (36th),Hud,Harriet Frank Jr. & Irving Ravetch,"The novel Horseman, Pass By by Larry McMurtry",/wiki/Hud_(1963_film),False,,,,
174,1963 (36th),Lilies of the Field,James Poe,The novel by William Edmund Barrett,/wiki/Lilies_of_the_Field_(1963_film),False,,,,
175,1963 (36th),Sundays and Cybele,Scenario: Serge Bourguignon & Antoine Tudal; Dialogue: Bourguignon,The novel Les dimanches de Ville d'Avray by Bernard Eschassériaux,/wiki/Sundays_and_Cybele,False,,,,
176,1964 (37th),Becket,Edward Anhalt,The play by Jean Anouilh,/wiki/Becket_(1964_film),True,,,,
177,1964 (37th),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Stanley Kubrick, Peter George & Terry Southern",The novel Red Alert by George,/wiki/Dr._Strangelove,False,,,,
178,1964 (37th),Mary Poppins,Don DaGradi & Bill Walsh,The novel series by P. L. Travers,/wiki/Mary_Poppins_(film),False,,,,
179,1964 (37th),My Fair Lady,Alan Jay Lerner,The musical by Lerner,/wiki/My_Fair_Lady_(film),False,,,,
180,1964 (37th),Zorba the Greek,Michael Cacoyannis,The novel by Nikos Kazantzakis,/wiki/Zorba_the_Greek_(film),False,,,,
181,1965 (38th),Doctor Zhivago,Robert Bolt,The novel by Boris Pasternak,/wiki/Doctor_Zhivago_(film),True,,,,
182,1965 (38th),Cat Ballou,Walter Newman & Frank Pierson,The novel The Ballad of Cat Ballou by Roy Chanslor,/wiki/Cat_Ballou,False,,,,
183,1965 (38th),The Collector,John Kohn & Stanley Mann,The novel by John Fowles,/wiki/The_Collector_(1965_film),False,,,,
184,1965 (38th),Ship of Fools,Abby Mann,The novel by Katherine Anne Porter,/wiki/Ship_of_Fools_(film),False,,,,
185,1965 (38th),A Thousand Clowns,Herb Gardner,The play by Gardner,/wiki/A_Thousand_Clowns,False,,,,
186,1966 (39th),A Man for All Seasons,Robert Bolt,The play by Bolt,/wiki/A_Man_for_All_Seasons_(1966_film),True,,,,
187,1966 (39th),Alfie,Bill Naughton,The play by Naughton,/wiki/Alfie_(1966_film),False,,,,
188,1966 (39th),The Professionals,Richard Brooks,The novel A Mule for the Marquesa by Frank O'Rourke,/wiki/The_Professionals_(1966_film),False,,,,
189,1966 (39th),"The Russians Are Coming, the Russians Are Coming",William Rose,The novel The Off-Islanders by Nathaniel Benchley,"/wiki/The_Russians_Are_Coming,_the_Russians_Are_Coming",False,,,,
190,1966 (39th),Who's Afraid of Virginia Woolf?,Ernest Lehman,The play by Edward Albee,/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F_(film),False,,,,
191,1967 (40th),In the Heat of the Night,Stirling Silliphant,The novel by John Ball,/wiki/In_the_Heat_of_the_Night_(film),True,,,,
192,1967 (40th),Cool Hand Luke,Donn Pearce & Frank Pierson,The novel by Pearce,/wiki/Cool_Hand_Luke,False,,,,
